date,log_ret,volume_usd,extreme_return,extreme_volume
2025-04-06,-0.0635023175889235,2374631982.2,True,False
2025-04-07,0.0098724281306714,5546499783.12,False,True
2025-04-09,0.0797683479092482,4963132858.37,True,True
2025-04-11,0.0470323260033559,2412186958.4,True,False
2025-04-22,0.0659660903256147,3880446944.47,True,False
2025-05-08,0.0619906957659023,4054486165.35,True,False
2025-07-15,-0.0175989157325063,5881848280.87,False,True
2025-07-25,-0.0063821213482253,5546818211.88,False,True
2025-10-10,-0.0742953647462633,7411664103.33,True,True
2025-10-16,-0.0238065184637315,4931780713.35,False,True
2025-10-17,-0.016087981974205,5124514044.62,False,True
2025-11-04,-0.0489073455092234,5883230356.44,True,True
2025-11-14,-0.0526688474946915,6169788916.03,True,True
2025-11-17,-0.0225691068176977,4519819656.92,False,True
2025-11-18,0.008698535765535,4643651409.0,False,True
2025-11-20,-0.0553897371494913,5067984092.5,True,True
2025-11-21,-0.0170820950545614,7497064318.5,False,True
2025-12-01,-0.0461807701092561,4839357127.84,True,True
2025-12-02,0.0564587741679727,4090746747.17,True,False
2026-01-14,0.0163384165711557,4896225428.34,False,True
2026-01-20,-0.0468811894304891,3430827950.31,True,False
2026-01-29,-0.0535975968162765,3865349822.0,True,False
2026-01-31,-0.0672380873264204,4182557013.42,True,False
2026-02-02,0.0228731490791432,4931866234.02,False,True
2026-02-03,-0.0390204243058629,4798731139.8,False,True
2026-02-04,-0.0357412861193105,4852815767.03,False,True
2026-02-05,-0.1506193335926166,8672008182.17,True,True
2026-02-06,0.1159789310253322,7081161121.78,True,True
2026-02-25,0.0595191137454247,3753044530.52,True,False
2026-03-02,0.0454379366939033,3577629869.35,True,False
2026-03-04,0.0616709811746039,4177397786.89,True,False
2026-04-13,0.050904399264442,2787168328.38,True,False
